Var1,Var2,Var3,Var4
0.0941,0.0402,0.427,0.982
0.0971,0.0403,0.415,0.984
0.1,0.0412,0.411,1.01
0.104,0.0407,0.391,0.994
0.107,0.0421,0.393,1.03
0.111,0.0419,0.379,1.02
0.114,0.0429,0.376,1.05
0.118,0.0439,0.372,1.07
0.122,0.046,0.377,1.12
0.126,0.0467,0.371,1.14
0.13,0.0491,0.378,1.2
0.134,0.0512,0.381,1.25
0.139,0.0502,0.362,1.23
0.143,0.0524,0.366,1.28
0.148,0.0537,0.363,1.31
0.153,0.0544,0.356,1.33
0.158,0.0547,0.346,1.34
0.163,0.0587,0.36,1.43
0.168,0.0624,0.371,1.53
0.174,0.0601,0.345,1.47
0.18,0.063,0.35,1.54
0.186,0.0672,0.362,1.64
0.192,0.069,0.36,1.69
0.198,0.0661,0.333,1.61
0.204,0.0656,0.321,1.6
0.211,0.0715,0.339,1.75
0.218,0.0716,0.329,1.75
0.225,0.0734,0.326,1.79
0.233,0.0685,0.294,1.67
0.24,0.0712,0.297,1.74
0.248,0.0714,0.288,1.75
0.256,0.0737,0.288,1.8
0.265,0.0762,0.288,1.86
0.274,0.073,0.267,1.79
0.283,0.0769,0.272,1.88
0.292,0.075,0.257,1.83
0.301,0.0806,0.267,1.97
0.311,0.0815,0.262,1.99
0.322,0.0814,0.253,1.99
0.332,0.0835,0.251,2.04
0.342,0.0881,0.257,2.15
0.354,0.0876,0.247,2.14
0.366,0.088,0.24,2.15
0.378,0.0891,0.236,2.18
0.39,0.0905,0.232,2.21
0.403,0.0924,0.229,2.26
0.416,0.0943,0.227,2.3
0.43,0.094,0.219,2.3
0.444,0.0948,0.214,2.32
0.458,0.0999,0.218,2.44
0.474,0.0981,0.207,2.4
0.489,0.101,0.206,2.47
0.505,0.102,0.203,2.5
0.522,0.105,0.201,2.56
0.539,0.105,0.195,2.57
0.556,0.109,0.195,2.66
0.575,0.109,0.19,2.67
0.594,0.11,0.185,2.68
0.613,0.112,0.183,2.75
0.633,0.115,0.181,2.81
0.654,0.118,0.18,2.88
0.675,0.119,0.176,2.91
0.697,0.122,0.175,2.98
0.721,0.122,0.169,2.98
0.744,0.126,0.169,3.08
0.769,0.126,0.164,3.08
0.794,0.13,0.164,3.17
0.82,0.132,0.162,3.24
0.847,0.132,0.156,3.23
0.875,0.136,0.155,3.32
0.903,0.139,0.154,3.4
0.933,0.14,0.15,3.41
0.964,0.143,0.148,3.48
0.995,0.144,0.145,3.52
1.03,0.145,0.141,3.55
1.06,0.149,0.14,3.64
1.1,0.15,0.137,3.67
1.13,0.154,0.136,3.77
1.17,0.156,0.133,3.8
1.21,0.158,0.131,3.87
1.25,0.163,0.13,3.98
1.29,0.165,0.128,4.04
1.33,0.167,0.125,4.07
1.37,0.172,0.125,4.2
1.42,0.173,0.122,4.24
1.47,0.177,0.121,4.33
1.51,0.178,0.117,4.35
1.56,0.181,0.116,4.43
1.62,0.184,0.114,4.49
1.67,0.186,0.111,4.54
1.72,0.189,0.109,4.61
1.78,0.191,0.107,4.66
1.84,0.193,0.105,4.72
1.9,0.198,0.104,4.83
1.96,0.201,0.103,4.92
2.03,0.204,0.1,4.97
2.09,0.206,0.0986,5.04
2.16,0.21,0.097,5.12
2.23,0.214,0.0958,5.23
2.31,0.217,0.0941,5.3
2.38,0.221,0.0928,5.4
2.46,0.222,0.0903,5.43
2.54,0.227,0.0893,5.54
2.62,0.229,0.0875,5.61
2.71,0.234,0.0862,5.71
2.8,0.236,0.0844,5.77
2.89,0.24,0.0832,5.87
2.99,0.245,0.0821,5.99
3.08,0.248,0.0803,6.05
3.18,0.252,0.0791,6.15
3.29,0.254,0.0773,6.21
3.4,0.258,0.0759,6.3
3.51,0.262,0.0745,6.39
3.62,0.267,0.0736,6.52
3.74,0.27,0.072,6.59
3.87,0.273,0.0706,6.67
3.99,0.278,0.0697,6.8
4.12,0.28,0.0678,6.84
4.26,0.286,0.0671,6.99
4.4,0.289,0.0658,7.07
4.54,0.293,0.0645,7.16
4.69,0.298,0.0635,7.28
4.85,0.302,0.0624,7.39
5.01,0.305,0.061,7.46
5.17,0.311,0.0603,7.61
5.34,0.315,0.0589,7.69
5.51,0.32,0.0581,7.83
5.7,0.325,0.057,7.94
5.88,0.329,0.056,8.05
6.08,0.337,0.0554,8.22
6.27,0.342,0.0545,8.36
6.48,0.348,0.0537,8.51
6.69,0.352,0.0526,8.6
6.91,0.356,0.0515,8.71
7.14,0.361,0.0506,8.83
7.37,0.369,0.05,9.01
7.62,0.372,0.0489,9.1
7.87,0.377,0.0479,9.2
8.12,0.384,0.0473,9.39
8.39,0.387,0.0461,9.46
8.67,0.391,0.0452,9.57
8.95,0.399,0.0445,9.75
9.25,0.402,0.0435,9.83
9.55,0.407,0.0426,9.94
9.86,0.413,0.0419,10.1
10.2,0.42,0.0412,10.3
10.5,0.413,0.0393,10.1
10.9,0.417,0.0384,10.2
11.2,0.425,0.0378,10.4
11.6,0.432,0.0373,10.6
12,0.439,0.0366,10.7
12.4,0.446,0.0361,10.9
12.8,0.451,0.0353,11
13.2,0.459,0.0348,11.2
13.6,0.462,0.0339,11.3
14.1,0.467,0.0332,11.4
14.5,0.472,0.0325,11.5
15,0.478,0.0319,11.7
15.5,0.486,0.0313,11.9
16,0.496,0.031,12.1
16.5,0.505,0.0305,12.3
17.1,0.51,0.0299,12.5
17.6,0.517,0.0293,12.6
18.2,0.524,0.0288,12.8
18.8,0.527,0.028,12.9
19.4,0.536,0.0276,13.1
20.1,0.542,0.027,13.3
20.7,0.554,0.0267,13.5
21.4,0.563,0.0263,13.8
22.1,0.571,0.0258,14
22.8,0.579,0.0253,14.1
23.6,0.584,0.0247,14.3
24.4,0.587,0.0241,14.4
25.2,0.597,0.0237,14.6
26,0.609,0.0234,14.9
26.8,0.62,0.0231,15.2
27.7,0.626,0.0226,15.3
28.6,0.63,0.022,15.4
29.6,0.637,0.0215,15.6
30.5,0.652,0.0213,15.9
31.6,0.665,0.0211,16.2
32.6,0.674,0.0207,16.5
33.7,0.674,0.02,16.5
34.8,0.683,0.0197,16.7
35.9,0.699,0.0195,17.1
37.1,0.712,0.0192,17.4
38.3,0.712,0.0186,17.4
39.6,0.717,0.0181,17.5
40.9,0.738,0.0181,18
42.2,0.755,0.0179,18.4
43.6,0.754,0.0173,18.4
45,0.76,0.0169,18.6
46.5,0.788,0.017,19.3
48,0.788,0.0164,19.3
49.6,0.788,0.0159,19.3
51.2,0.819,0.016,20
52.9,0.825,0.0156,20.2
54.6,0.821,0.015,20.1
56.4,0.857,0.0152,20.9
58.3,0.851,0.0146,20.8
60.2,0.861,0.0143,21.1
62.2,0.898,0.0144,21.9
64.2,0.876,0.0136,21.4
66.3,0.92,0.0139,22.5
68.5,0.91,0.0133,22.2
70.7,0.934,0.0132,22.8
73.1,0.948,0.013,23.2
75.5,0.952,0.0126,23.3
77.9,0.979,0.0126,23.9
80.5,0.98,0.0122,24
83.1,1,0.0121,24.5
85.9,1.02,0.0119,25
88.7,1.01,0.0114,24.7
91.6,1.07,0.0117,26.2
94.6,1.02,0.0108,25
97.7,1.1,0.0112,26.9
101,1.1,0.0109,26.9
104,1.07,0.0103,26.1
108,1.16,0.0107,28.3
111,1.16,0.0104,28.3
115,1.11,0.00965,27.1
119,1.16,0.00977,28.3
123,1.24,0.0101,30.3
127,1.25,0.00985,30.5
131,1.21,0.00923,29.5
135,1.19,0.00879,29
139,1.2,0.00864,29.4
144,1.25,0.00867,30.5
149,1.29,0.00868,31.6
154,1.32,0.00862,32.3
159,1.34,0.00847,32.8
164,1.35,0.00824,33
169,1.34,0.00792,32.8
175,1.33,0.00761,32.5
181,1.36,0.00754,33.3
186,1.47,0.00787,35.8
193,1.57,0.00814,38.3
199,1.51,0.00758,36.8
205,1.44,0.00703,35.3
212,1.62,0.00764,39.6
219,1.58,0.00719,38.5
226,1.58,0.00698,38.6
234,1.68,0.00719,41.1
241,1.64,0.00679,40.1
249,1.69,0.00679,41.4
258,1.79,0.00693,43.6
266,1.71,0.00643,41.8
275,1.78,0.00649,43.6
284,1.87,0.00659,45.7
293,1.9,0.00648,46.4
303,1.92,0.00634,46.9
313,1.95,0.00624,47.6
323,1.97,0.00612,48.3
333,1.99,0.00598,48.7
344,2.04,0.00591,49.8
356,2.17,0.00609,53
367,2.18,0.00593,53.2
379,2.11,0.00556,51.6
392,2.37,0.00604,57.8
405,2.19,0.00542,53.6
418,2.32,0.00555,56.8
432,2.6,0.00601,63.4
446,2.54,0.00569,62.1
461,2.48,0.00538,60.6
476,2.54,0.00534,62.1
491,2.74,0.00558,67
507,2.91,0.00574,71.1
524,2.65,0.00505,64.7
541,2.84,0.00524,69.4
559,2.86,0.00511,69.8
577,3.08,0.00534,75.4
596,3.02,0.00507,73.8
616,3.1,0.00503,75.7
636,3.22,0.00507,78.8
657,3.29,0.005,80.3
679,3.25,0.00479,79.5
701,3.66,0.00522,89.3
724,3.35,0.00462,81.8
748,3.64,0.00487,89
772,3.95,0.00511,96.5
798,4,0.00502,97.9
824,3.8,0.00461,92.9
851,4.15,0.00488,101
879,4.2,0.00478,103
908,4.5,0.00496,110
938,4.56,0.00487,111
968,4.63,0.00478,113
1000,5,0.005,122
