Var1,Var2,Var3,Var4
2.71,0.22,0.0813,5.38
2.8,0.224,0.0799,5.46
2.89,0.227,0.0787,5.56
2.99,0.231,0.0774,5.64
3.08,0.235,0.0762,5.74
3.18,0.238,0.0747,5.82
3.29,0.243,0.0739,5.94
3.4,0.246,0.0724,6.01
3.51,0.25,0.0712,6.11
3.62,0.254,0.07,6.2
3.74,0.258,0.069,6.31
3.87,0.262,0.0678,6.4
3.99,0.266,0.0666,6.5
4.12,0.27,0.0654,6.59
4.26,0.274,0.0643,6.7
4.4,0.279,0.0633,6.81
4.54,0.283,0.0623,6.92
4.69,0.287,0.0613,7.03
4.85,0.29,0.0599,7.09
5,0.296,0.0591,7.23
5.17,0.301,0.0582,7.35
5.34,0.305,0.0571,7.45
5.51,0.311,0.0563,7.59
5.7,0.314,0.0551,7.67
5.88,0.319,0.0542,7.79
6.08,0.324,0.0534,7.92
6.27,0.33,0.0525,8.05
6.48,0.334,0.0515,8.15
6.69,0.339,0.0507,8.29
6.91,0.344,0.0498,8.41
7.14,0.349,0.0489,8.53
7.37,0.352,0.0478,8.61
7.62,0.36,0.0473,8.8
7.87,0.363,0.0462,8.88
8.13,0.369,0.0454,9.02
8.39,0.375,0.0447,9.17
8.67,0.379,0.0437,9.26
8.95,0.385,0.043,9.41
9.25,0.391,0.0423,9.55
9.55,0.396,0.0415,9.69
9.86,0.4,0.0406,9.78
10.2,0.409,0.0401,9.99
10.5,0.416,0.0395,10.2
10.9,0.42,0.0386,10.3
11.2,0.426,0.038,10.4
11.6,0.431,0.0372,10.5
12,0.439,0.0366,10.7
12.4,0.445,0.036,10.9
12.8,0.451,0.0353,11
13.2,0.457,0.0346,11.2
13.6,0.463,0.034,11.3
14.1,0.468,0.0333,11.4
14.5,0.475,0.0327,11.6
15,0.481,0.032,11.8
15.5,0.491,0.0317,12
16,0.499,0.0312,12.2
16.5,0.506,0.0306,12.4
17.1,0.511,0.0299,12.5
17.6,0.52,0.0295,12.7
18.2,0.526,0.0288,12.8
18.8,0.532,0.0283,13
19.4,0.539,0.0277,13.2
20.1,0.545,0.0272,13.3
20.7,0.554,0.0267,13.5
21.4,0.565,0.0264,13.8
22.1,0.573,0.0259,14
22.8,0.581,0.0254,14.2
23.6,0.587,0.0249,14.3
24.4,0.593,0.0243,14.5
25.2,0.6,0.0239,14.7
26,0.611,0.0235,14.9
26.8,0.623,0.0232,15.2
27.7,0.631,0.0228,15.4
28.6,0.636,0.0222,15.5
29.6,0.642,0.0217,15.7
30.5,0.653,0.0214,16
31.6,0.665,0.0211,16.3
32.6,0.678,0.0208,16.6
33.7,0.68,0.0202,16.6
34.8,0.688,0.0198,16.8
35.9,0.701,0.0195,17.1
37.1,0.716,0.0193,17.5
38.3,0.722,0.0189,17.7
39.6,0.723,0.0183,17.7
40.9,0.738,0.0181,18
42.2,0.76,0.018,18.6
43.6,0.763,0.0175,18.6
45,0.763,0.0169,18.6
46.5,0.787,0.0169,19.2
48,0.801,0.0167,19.6
49.6,0.795,0.016,19.4
51.2,0.817,0.0159,20
52.9,0.838,0.0158,20.5
54.6,0.828,0.0152,20.2
56.4,0.854,0.0151,20.9
58.3,0.871,0.0149,21.3
60.2,0.86,0.0143,21
62.2,0.903,0.0145,22.1
64.2,0.893,0.0139,21.8
66.3,0.916,0.0138,22.4
68.5,0.935,0.0137,22.9
70.7,0.925,0.0131,22.6
73.1,0.972,0.0133,23.8
75.5,0.946,0.0125,23.1
77.9,1,0.0129,24.5
80.5,0.972,0.0121,23.8
83.1,1.03,0.0124,25.2
85.9,1.01,0.0117,24.6
88.7,1.05,0.0118,25.7
91.6,1.06,0.0116,25.9
94.6,1.05,0.0111,25.6
97.7,1.12,0.0115,27.4
101,1.08,0.0107,26.3
104,1.11,0.0106,27.1
108,1.18,0.0109,28.8
111,1.13,0.0102,27.7
115,1.13,0.00986,27.7
119,1.22,0.0103,29.7
123,1.25,0.0102,30.6
127,1.21,0.00958,29.6
131,1.19,0.00908,29
135,1.21,0.00899,29.7
139,1.27,0.00912,31.1
144,1.33,0.00922,32.4
149,1.37,0.00923,33.5
154,1.4,0.00913,34.3
159,1.43,0.00899,34.9
164,1.44,0.00878,35.2
169,1.43,0.00847,35
175,1.4,0.00803,34.3
181,1.38,0.00762,33.6
186,1.42,0.00759,34.6
193,1.55,0.00803,37.8
199,1.6,0.00805,39.1
205,1.48,0.00723,36.3
212,1.56,0.00737,38.2
219,1.67,0.00763,40.8
226,1.55,0.00684,37.8
234,1.74,0.00745,42.6
241,1.61,0.00668,39.4
249,1.77,0.00711,43.3
258,1.74,0.00676,42.5
266,1.73,0.00649,42.2
275,1.84,0.0067,45
284,1.88,0.00663,46
293,1.88,0.00643,46
303,1.9,0.00629,46.5
313,1.95,0.00622,47.5
323,1.99,0.00615,48.5
333,2,0.00601,49
344,2,0.00582,49
356,2.09,0.00587,51
367,2.22,0.00604,54.2
379,2.06,0.00544,50.5
392,2.33,0.00595,57
405,2.1,0.0052,51.4
418,2.43,0.00582,59.4
432,2.45,0.00568,59.9
446,2.28,0.00511,55.7
461,2.24,0.00487,54.9
476,2.29,0.00482,56
491,2.44,0.00497,59.6
507,2.75,0.00543,67.3
524,2.75,0.00524,67.1
541,2.57,0.00475,62.9
559,2.89,0.00517,70.7
577,2.87,0.00497,70.1
596,2.84,0.00477,69.5
616,2.96,0.00481,72.4
636,3.09,0.00486,75.5
657,3.21,0.00488,78.4
679,3.13,0.00461,76.4
701,3.38,0.00482,82.6
724,3.23,0.00447,79
748,3.71,0.00496,90.6
772,3.88,0.00502,94.8
798,3.99,0.005,97.4
824,3.87,0.00469,94.5
851,3.75,0.0044,91.6
879,4.16,0.00474,102
908,4.26,0.0047,104
937,4.33,0.00462,106
968,4.4,0.00455,108
1000,4.61,0.00461,113
