Var1,Var2,Var3,Var4
2.09,0.214,0.102,5.23
2.16,0.218,0.101,5.32
2.23,0.221,0.099,5.4
2.31,0.225,0.0974,5.49
2.38,0.229,0.0964,5.61
2.46,0.232,0.0943,5.67
2.54,0.237,0.0934,5.8
2.62,0.24,0.0913,5.85
2.71,0.244,0.0899,5.95
2.8,0.246,0.0878,6.01
2.89,0.25,0.0865,6.11
2.98,0.255,0.0854,6.23
3.08,0.258,0.0838,6.31
3.18,0.264,0.0828,6.44
3.29,0.266,0.0809,6.5
3.4,0.27,0.0796,6.61
3.51,0.275,0.0784,6.72
3.62,0.278,0.0768,6.8
3.74,0.281,0.0751,6.87
3.87,0.286,0.0741,7
3.99,0.29,0.0726,7.09
4.12,0.294,0.0713,7.19
4.26,0.299,0.0703,7.31
4.4,0.303,0.0689,7.41
4.54,0.307,0.0676,7.5
4.69,0.311,0.0662,7.59
4.85,0.315,0.0651,7.71
5,0.319,0.0637,7.8
5.17,0.325,0.0629,7.94
5.34,0.329,0.0616,8.04
5.51,0.333,0.0604,8.14
5.7,0.338,0.0594,8.27
5.88,0.343,0.0583,8.38
6.08,0.349,0.0574,8.52
6.27,0.353,0.0562,8.62
6.48,0.358,0.0552,8.74
6.69,0.362,0.0541,8.85
6.91,0.367,0.0531,8.98
7.14,0.37,0.0519,9.05
7.37,0.377,0.0511,9.2
7.62,0.382,0.0502,9.34
7.87,0.386,0.0491,9.44
8.12,0.394,0.0484,9.62
8.39,0.398,0.0475,9.74
8.67,0.404,0.0466,9.86
8.95,0.41,0.0458,10
9.25,0.415,0.0449,10.1
9.55,0.419,0.0439,10.2
9.86,0.425,0.0431,10.4
10.2,0.432,0.0424,10.6
10.5,0.436,0.0415,10.7
10.9,0.441,0.0406,10.8
11.2,0.447,0.0398,10.9
11.6,0.453,0.0391,11.1
12,0.46,0.0384,11.2
12.4,0.466,0.0377,11.4
12.8,0.472,0.037,11.5
13.2,0.479,0.0363,11.7
13.6,0.487,0.0357,11.9
14.1,0.493,0.035,12
14.5,0.497,0.0342,12.1
15,0.502,0.0334,12.3
15.5,0.508,0.0328,12.4
16,0.517,0.0323,12.6
16.5,0.523,0.0316,12.8
17.1,0.526,0.0308,12.9
17.6,0.535,0.0303,13.1
18.2,0.544,0.0299,13.3
18.8,0.551,0.0293,13.5
19.4,0.561,0.0288,13.7
20.1,0.564,0.0281,13.8
20.7,0.572,0.0276,14
21.4,0.576,0.0269,14.1
22.1,0.583,0.0264,14.2
22.8,0.593,0.0259,14.5
23.6,0.603,0.0256,14.7
24.4,0.612,0.0251,15
25.2,0.617,0.0245,15.1
26,0.623,0.024,15.2
26.8,0.629,0.0234,15.4
27.7,0.637,0.023,15.6
28.6,0.65,0.0227,15.9
29.6,0.66,0.0223,16.1
30.5,0.666,0.0218,16.3
31.6,0.668,0.0212,16.3
32.6,0.678,0.0208,16.6
33.7,0.692,0.0206,16.9
34.8,0.705,0.0203,17.2
35.9,0.708,0.0197,17.3
37.1,0.71,0.0192,17.4
38.3,0.725,0.0189,17.7
39.6,0.741,0.0187,18.1
40.9,0.744,0.0182,18.2
42.2,0.747,0.0177,18.3
43.6,0.77,0.0177,18.8
45,0.78,0.0173,19.1
46.5,0.78,0.0168,19.1
48,0.791,0.0165,19.3
49.6,0.817,0.0165,20
51.2,0.813,0.0159,19.9
52.9,0.821,0.0155,20.1
54.6,0.852,0.0156,20.8
56.4,0.843,0.0149,20.6
58.3,0.86,0.0148,21
60.2,0.886,0.0147,21.7
62.2,0.87,0.014,21.3
64.2,0.912,0.0142,22.3
66.3,0.902,0.0136,22
68.5,0.925,0.0135,22.6
70.7,0.941,0.0133,23
73.1,0.936,0.0128,22.9
75.5,0.976,0.0129,23.8
77.9,0.958,0.0123,23.4
80.5,1.01,0.0125,24.6
83.1,0.987,0.0119,24.1
85.9,1.02,0.0119,25
88.7,1.03,0.0117,25.3
91.6,1.03,0.0112,25.1
94.6,1.09,0.0116,26.7
97.7,1.04,0.0107,25.5
101,1.1,0.0109,27
104,1.13,0.0109,27.7
108,1.08,0.01,26.4
111,1.14,0.0103,27.9
115,1.2,0.0105,29.4
119,1.16,0.00979,28.4
123,1.14,0.00928,27.8
127,1.2,0.00945,29.2
131,1.27,0.00974,31.1
135,1.31,0.00968,31.9
139,1.3,0.00933,31.8
144,1.29,0.00893,31.4
149,1.28,0.00861,31.3
154,1.29,0.00837,31.4
159,1.31,0.00823,31.9
164,1.34,0.00819,32.8
169,1.4,0.00826,34.2
175,1.47,0.00839,35.8
181,1.52,0.00841,37.1
186,1.49,0.00798,36.4
193,1.41,0.0073,34.4
199,1.45,0.00731,35.5
205,1.61,0.00786,39.5
212,1.53,0.00719,37.3
219,1.54,0.00703,37.6
226,1.67,0.00739,40.9
234,1.56,0.00668,38.1
241,1.72,0.00714,42.1
249,1.66,0.00665,40.5
258,1.7,0.00658,41.4
266,1.81,0.00682,44.3
275,1.77,0.00645,43.3
284,1.77,0.00625,43.4
293,1.83,0.00625,44.7
303,1.88,0.00622,46
313,1.92,0.00615,47
323,1.96,0.00608,47.9
333,2.02,0.00607,49.4
344,2.08,0.00604,50.9
356,2.05,0.00576,50.1
367,2.05,0.00557,50
379,2.27,0.00599,55.5
392,2.07,0.00527,50.5
405,2.4,0.00593,58.7
418,2.23,0.00533,54.5
432,2.18,0.00504,53.2
446,2.42,0.00543,59.1
461,2.59,0.00562,63.2
476,2.64,0.00555,64.5
491,2.56,0.00521,62.6
508,2.4,0.00473,58.6
524,2.67,0.00509,65.2
541,2.81,0.00519,68.7
559,2.74,0.0049,67
577,2.78,0.00482,68
596,2.98,0.005,72.9
616,3.02,0.00491,73.9
636,3.04,0.00478,74.3
657,3.11,0.00473,75.9
679,3.35,0.00494,81.9
701,3.17,0.00452,77.4
724,3.61,0.00499,88.3
748,3.37,0.0045,82.3
772,3.31,0.00428,80.8
798,3.43,0.00431,83.9
824,3.87,0.00469,94.5
851,4.01,0.00471,97.9
879,3.99,0.00454,97.5
908,4.05,0.00447,99.1
937,4.27,0.00456,104
968,4.5,0.00465,110
1000,4.51,0.00451,110
